model_name,threshold,accuracy,precision,recall,f1,f2,tp,fp,tn,fn,false_negative_rate,predicted_positive_count
logistic_regression,0.05,0.732484076433121,0.10126582278481013,0.38095238095238093,0.16,0.24539877300613497,8,71,222,13,0.6190476190476191,79
logistic_regression,0.1,0.7770700636942676,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.23809523809523808,7,56,237,14,0.6666666666666666,63
logistic_regression,0.15,0.7961783439490446,0.09433962264150944,0.23809523809523808,0.13513513513513511,0.18248175182481752,5,48,245,16,0.7619047619047619,53
logistic_regression,0.2,0.8057324840764332,0.1,0.23809523809523808,0.1408450704225352,0.1865671641791045,5,45,248,16,0.7619047619047619,50
logistic_regression,0.25,0.8089171974522293,0.10204081632653061,0.23809523809523808,0.14285714285714285,0.18796992481203006,5,44,249,16,0.7619047619047619,49
logistic_regression,0.3,0.8089171974522293,0.0851063829787234,0.19047619047619047,0.1176470588235294,0.15267175572519084,4,43,250,17,0.8095238095238095,47
logistic_regression,0.35,0.8121019108280255,0.08695652173913043,0.19047619047619047,0.11940298507462685,0.15384615384615385,4,42,251,17,0.8095238095238095,46
logistic_regression,0.4,0.8152866242038217,0.06976744186046512,0.14285714285714285,0.09374999999999999,0.11811023622047244,3,40,253,18,0.8571428571428571,43
logistic_regression,0.45,0.8152866242038217,0.06976744186046512,0.14285714285714285,0.09374999999999999,0.11811023622047244,3,40,253,18,0.8571428571428571,43
logistic_regression,0.5,0.821656050955414,0.07317073170731707,0.14285714285714285,0.0967741935483871,0.12,3,38,255,18,0.8571428571428571,41
logistic_regression,0.55,0.8248407643312102,0.075,0.14285714285714285,0.0983606557377049,0.12096774193548387,3,37,256,18,0.8571428571428571,40
logistic_regression,0.6,0.8280254777070064,0.07692307692307693,0.14285714285714285,0.1,0.12195121951219512,3,36,257,18,0.8571428571428571,39
logistic_regression,0.65,0.8343949044585988,0.08108108108108109,0.14285714285714285,0.10344827586206896,0.12396694214876033,3,34,259,18,0.8571428571428571,37
logistic_regression,0.7,0.8343949044585988,0.08108108108108109,0.14285714285714285,0.10344827586206896,0.12396694214876033,3,34,259,18,0.8571428571428571,37
logistic_regression,0.75,0.8407643312101911,0.08571428571428572,0.14285714285714285,0.10714285714285714,0.12605042016806722,3,32,261,18,0.8571428571428571,35
logistic_regression,0.8,0.8407643312101911,0.06060606060606061,0.09523809523809523,0.07407407407407407,0.08547008547008547,2,31,262,19,0.9047619047619048,33
logistic_regression,0.85,0.8407643312101911,0.06060606060606061,0.09523809523809523,0.07407407407407407,0.08547008547008547,2,31,262,19,0.9047619047619048,33
logistic_regression,0.9,0.8471337579617835,0.06451612903225806,0.09523809523809523,0.07692307692307691,0.08695652173913043,2,29,264,19,0.9047619047619048,31
logistic_regression,0.95,0.8662420382165605,0.08,0.09523809523809523,0.08695652173913043,0.09174311926605505,2,23,270,19,0.9047619047619048,25
random_forest,0.05,0.4140127388535032,0.09045226130653267,0.8571428571428571,0.16363636363636364,0.31802120141342755,18,181,112,3,0.14285714285714285,199
random_forest,0.1,0.8248407643312102,0.17307692307692307,0.42857142857142855,0.24657534246575344,0.33088235294117646,9,43,250,12,0.5714285714285714,52
random_forest,0.15,0.89171974522293,0.21739130434782608,0.23809523809523808,0.22727272727272724,0.2336448598130841,5,18,275,16,0.7619047619047619,23
random_forest,0.2,0.9235668789808917,0.2857142857142857,0.09523809523809523,0.14285714285714285,0.10989010989010989,2,5,288,19,0.9047619047619048,7
random_forest,0.25,0.9331210191082803,0.5,0.047619047619047616,0.08695652173913042,0.05813953488372093,1,1,292,20,0.9523809523809523,2
random_forest,0.3,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.35,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.4,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.45,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.5,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.55,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.6,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.65,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.7,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.75,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.8,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.85,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.9,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
random_forest,0.95,0.9331210191082803,0.0,0.0,0.0,0.0,0,0,293,21,1.0,0
